userID,vendorID,rating
18,0,1
87,0,1
91,0,3
64,0,2
67,0,3
53,0,1
26,0,3
25,0,1
45,0,2
84,0,3
89,0,1
16,0,5
52,0,2
17,0,3
37,0,2
95,0,1
68,0,5
11,0,3
63,0,4
88,0,2
30,0,1
4,0,1
24,0,5
47,0,5
99,0,1
55,0,2
74,0,1
23,0,3
43,0,3
21,0,3
58,0,5
7,0,1
48,0,5
82,0,2
83,0,3
93,0,3
75,0,3
9,0,3
80,0,3
12,0,1
39,0,4
29,0,5
50,0,1
34,0,3
69,0,2
18,1,2
73,1,2
87,1,2
6,1,4
91,1,4
98,1,2
79,1,5
53,1,4
67,1,3
70,1,5
26,1,4
92,1,2
45,1,3
84,1,4
40,1,2
89,1,1
16,1,4
3,1,5
52,1,3
94,1,3
38,1,3
78,1,4
31,1,3
86,1,2
90,1,2
15,1,4
96,1,4
37,1,5
5,1,4
68,1,5
11,1,3
51,1,5
63,1,5
1,1,5
30,1,1
22,1,3
4,1,2
24,1,5
14,1,4
47,1,3
55,1,3
74,1,3
20,1,4
23,1,5
43,1,4
21,1,3
58,1,3
0,1,4
7,1,2
66,1,3
41,1,4
8,1,2
82,1,5
49,1,4
27,1,4
93,1,4
57,1,3
75,1,2
9,1,3
54,1,4
80,1,4
12,1,2
39,1,3
13,1,4
71,1,3
29,1,5
32,1,3
36,1,5
59,1,4
35,1,4
2,1,3
81,1,3
34,1,3
85,1,4
65,1,3
69,1,2
60,1,3
44,1,4
18,2,3
73,2,5
87,2,1
91,2,4
6,2,4
64,2,3
98,2,3
79,2,4
53,2,4
67,2,3
26,2,3
92,2,4
25,2,1
45,2,4
19,2,5
77,2,5
89,2,1
3,2,4
52,2,5
94,2,5
38,2,4
33,2,4
78,2,4
31,2,2
86,2,3
90,2,2
15,2,4
96,2,5
17,2,5
37,2,5
95,2,1
68,2,4
11,2,3
10,2,5
51,2,1
63,2,5
88,2,4
1,2,5
30,2,1
22,2,4
4,2,5
24,2,5
14,2,3
47,2,4
99,2,5
74,2,4
20,2,4
23,2,5
43,2,4
28,2,3
21,2,4
58,2,3
0,2,2
46,2,4
7,2,3
66,2,4
48,2,3
41,2,5
8,2,5
82,2,2
97,2,4
83,2,5
93,2,4
57,2,3
75,2,4
9,2,4
54,2,3
80,2,5
12,2,1
13,2,5
39,2,4
71,2,3
29,2,5
36,2,4
50,2,1
59,2,3
81,2,2
34,2,5
85,2,5
69,2,3
60,2,4
56,2,3
72,3,2
73,3,5
87,3,3
91,3,5
6,3,4
64,3,3
98,3,3
79,3,5
53,3,5
67,3,3
70,3,2
26,3,4
92,3,3
25,3,3
45,3,3
84,3,4
77,3,5
40,3,4
89,3,3
16,3,5
3,3,4
52,3,5
94,3,5
38,3,5
33,3,5
78,3,4
31,3,4
86,3,3
90,3,4
15,3,4
96,3,5
17,3,4
37,3,4
5,3,5
95,3,4
68,3,4
11,3,5
10,3,5
51,3,4
63,3,5
1,3,5
30,3,3
22,3,3
4,3,5
24,3,5
47,3,5
55,3,4
99,3,4
74,3,4
20,3,3
23,3,5
28,3,4
21,3,4
58,3,5
0,3,4
46,3,1
7,3,1
66,3,3
48,3,4
41,3,4
8,3,4
82,3,4
97,3,5
62,3,5
49,3,4
27,3,3
83,3,4
93,3,4
57,3,3
75,3,4
9,3,4
54,3,5
80,3,5
76,3,4
12,3,3
39,3,4
71,3,5
29,3,5
32,3,4
36,3,5
35,3,4
42,3,3
61,3,3
2,3,2
81,3,3
34,3,4
85,3,5
65,3,3
69,3,2
60,3,3
44,3,4
56,3,3
6,4,4
45,4,1
19,4,1
89,4,1
52,4,1
37,4,2
95,4,1
10,4,3
63,4,5
88,4,5
23,4,3
43,4,5
21,4,3
7,4,1
66,4,3
48,4,5
83,4,4
75,4,2
80,4,5
12,4,1
13,4,3
39,4,4
50,4,1
59,4,5
85,4,5
69,4,1
60,4,1
18,5,3
72,5,4
73,5,3
87,5,2
91,5,2
6,5,4
98,5,3
79,5,5
53,5,4
26,5,3
92,5,3
25,5,1
45,5,2
84,5,3
40,5,3
89,5,3
16,5,5
3,5,3
38,5,3
78,5,4
31,5,2
90,5,3
15,5,3
96,5,4
17,5,1
37,5,4
5,5,3
68,5,4
11,5,4
10,5,4
51,5,1
63,5,5
14,5,5
47,5,3
99,5,3
74,5,2
20,5,4
23,5,5
28,5,2
21,5,4
58,5,3
0,5,3
7,5,1
41,5,3
8,5,4
97,5,3
62,5,4
49,5,4
27,5,2
83,5,3
93,5,4
75,5,2
9,5,3
54,5,4
80,5,4
76,5,3
12,5,2
