"id","mp_id","name","description","price"
"0857e1d5-7fd3-4263-b640-95e95877e332","6b0b5bf3-16f4-4405-b0ae-4313228ee31f",Acarakampus.com,"Hak:
1. 1x post feed Instagram
2. 1x story Instagram

Kewajiban:
1. 40 orang follow Instagram @acarakampus.official & like 10 post terbaru
2. 40 followers TikTok @acarakampus.official
3. 40 orang subscribe YouTube youtube.com/acarakampusofficial & like 3 video terbaru
4. Mencantumkan logo dan tag akun Instagram""",0.0
"412baa00-0808-4ba4-bfa2-9cec23f71735","6b0b5bf3-16f4-4405-b0ae-4313228ee31f",Acarakampus.com,"Hak:
1. 1x post feed Instagram
2. 1x post story Instagram (bisa pakai fitur swipe up/sticker link, masuk highlight story special event)
3. 1x status WhatsApp
4. Bisa request waktu posting/langsung tanpa antrian",25000.0
db0654d3-d0df-4e89-9c31-d2041c639083,"6b0b5bf3-16f4-4405-b0ae-4313228ee31f",Acarakampus.com,"Hak:
1. 2x post feed Instagram
2. 2x post story Instagram (bisa pakai fitur swipe up/sticker link, masuk highlight story special event)
3. 2x status WhatsApp
4. Bisa request waktu posting/langsung tanpa antrian",40000.0
"67d38891-dd61-43a4-a00f-d098233832c2","6b0b5bf3-16f4-4405-b0ae-4313228ee31f",Acarakampus.com,"Hak:
1. 3x post feed Instagram
2. 3x post story Instagram (bisa pakai fitur swipe up/sticker link, masuk highlight story special event)
3. 3x status WhatsApp
4. Bisa request waktu posting/langsung tanpa antrian""",50000.0
"314dab3e-d1f5-4598-8464-82d3fe0836a5",c2a2b772-6696-476e-b230-7eda70a1d453,Share Event,"Hak:
1. 1x post feed Instagram (carousel max 2)
2. 1x post story Instagram

Kewajiban:
1. 50 orang follow Instagram @share_event @linikini_id & like 5 post teratas
2. 50 adders LINE@ @zkw5705s
3. Pencantuman logo",0.0
"512d2588-4861-4e54-b771-a991507e9264",c2a2b772-6696-476e-b230-7eda70a1d453,Share Event,"Hak:
1. 1x post feed instagram",250000.0
"156ee323-5607-470a-9212-f045fa1ade96",c2a2b772-6696-476e-b230-7eda70a1d453,Share Event,"Hak:
1. 1x post story instagram",100000.0
"0b07b589-03b3-4c47-a20f-cdffe7cd3ff5",c2a2b772-6696-476e-b230-7eda70a1d453,Share Event,"Hak:
1. 1x post feed + story instagram",300000.0
abcc5278-6538-4c00-a012-3dc3e50022b9,f25189ef-97b4-40de-bd7f-d3e7f02f69e9,Seputar Event,"Hak: 
1. Akses submit promo di halaman Promo Acara dan tampil di halaman terdepan (tanpa batasan)
2. 1x post Twitter @seputarevent

Kewajiban: 
1. Mencantumkan logo Seputar Event pada setiap materi promo.",0.0
"9988cdaa-2394-4a4c-b823-bbec26744108","9a5af855-0e8a-418d-97db-0d41235f985d",Seputar Kuliah,"Hak:
1. 1x feed di Instagram @seputarkuliah & @event.seputarkuliah
2. 1x story di Instagram @event.seputarkuliah
3. 1x timeline di akun LINE @seputarkuliah

Kewajiban:
1. Follow Instagram @seputarkuliah dan @event.seputarkuliah (sesuai jumlah panitia) & like min 5 postingan teratas Instagram @event.seputarkuliah
2. Membuat 1 video Q&A jurusan (ketentuan: event.seputarkuliah.com/syarat-paket-gratis/)
3. Mencantumkan logo @seputarkuliah""",0.0
"421c9c4b-b6ee-4931-9834-a6c5edcba1e0","9a5af855-0e8a-418d-97db-0d41235f985d",Seputar Kuliah,"Hak:
1. 1x post feed Instagram @seputarkuliah & @event.seputarkuliah",50000.0
"40e347bf-bb54-401e-9ac1-c1ecba4654ef","9a5af855-0e8a-418d-97db-0d41235f985d",Seputar Kuliah,"Hak:
1. 1x post feed Instagram @seputarkuliah & @event.seputarkuliah
2. 1x story Instagram @event.seputarkuliah",75000.0
"8a2c690b-0673-428e-9fce-672cb11b6b70","9a5af855-0e8a-418d-97db-0d41235f985d",Seputar Kuliah,"Hak:
1. 1x post feed Instagram @seputarkuliah & @event.seputarkuliah
2. 1x story Instagram @event.seputarkuliah
3. 1x timeline LINE @seputarkuliah""",100000.0
"232d6bc3-a5f8-46bf-9c7a-3f3a17d6fd48","39347419-d2e1-46ce-ae60-bb9f7c6f4ee1",Info Event Mahasiswa Indonesia,"Hak:
1. 1x Posting Instagram stories dan
2. 1x Posting Feed instagram @infomahasiswaindonesia

Kewajiban:
1. Minimal 35 orang panitia WAJIB untuk *Follow dan likes pada 5 postingan terbar akun official instagram @infomahasiswaindonesia
2. Like Fanspage & Postingan Official Facebook Pages INFO MAHASISWA INDONESIA (OPTIONAL UNTUK JUMLAHNYA) 
3. GABUNG GRUP TELEGRAM https://t.me/infoeventmahasiswa (OPTIONAL UNTUK JUMLAHNYA) 
4. WAJIB Daftar 35 akun yang sudah memenuhi SK Follow & Likes bisa dikirimkan dalam bentuk list username via chat whatsapp",0.0
"91cfc885-3ebe-4f67-a4c2-afd8bc7835e5","39347419-d2e1-46ce-ae60-bb9f7c6f4ee1",Info Event Mahasiswa Indonesia,"Hak:
1. 1x post Instastory
2. 1x post Feed instagram
3. 1x post di Fanspage Facebook",30000.0
