"id","created_by","approved_by","logo_url","name","description","value","last_updated","updated_by","created_at","field","is_approved","is_active","is_archived","email","line","twitter","whatsapp","instagram","website","location"
"1065cf60-39be-4d49-9f56-605718a05684",NgNDTSxKEeV4nzODnak4iOGp6pu1,NgNDTSxKEeV4nzODnak4iOGp6pu1,,Info Event Kampus ,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,NgNDTSxKEeV4nzODnak4iOGp6pu1,2023-12-19 01:32:49.619,Media Online,true,true,false,"","","","81515821377",eventkampus.co,"",
"6b0b5bf3-16f4-4405-b0ae-4313228ee31f",OFt6HkGGNcfL1TXYmOxbHr01cxT2,OFt6HkGGNcfL1TXYmOxbHr01cxT2,,Acarakampus.com,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,OFt6HkGGNcfL1TXYmOxbHr01cxT2,2023-12-19 01:32:49.619,Media Online,true,true,false,"","","","85290462310",acarakampus.official,biolinky.co/acarakampusofficial,
c2a2b772-6696-476e-b230-7eda70a1d453,gb6V5uGeZSSrGwWlpKS1d6BXv242,gb6V5uGeZSSrGwWlpKS1d6BXv242,,Share Event,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,gb6V5uGeZSSrGwWlpKS1d6BXv242,2023-12-19 01:32:49.619,Media Online,true,true,false,share.event2016@gmail.com,"",ShareEvent_,"89632800464",share_event,"",
f25189ef-97b4-40de-bd7f-d3e7f02f69e9,OFt6HkGGNcfL1TXYmOxbHr01cxT2,OFt6HkGGNcfL1TXYmOxbHr01cxT2,,Seputar Event,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,OFt6HkGGNcfL1TXYmOxbHr01cxT2,2023-12-19 01:32:49.619,Media Online,true,true,false,Media Cetak@seputarevent.com,"",SeputarEvent,"88289726272",seputarevent,www.seputarevent.com,
"9a5af855-0e8a-418d-97db-0d41235f985d",gb6V5uGeZSSrGwWlpKS1d6BXv242,gb6V5uGeZSSrGwWlpKS1d6BXv242,,Seputar Kuliah,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,gb6V5uGeZSSrGwWlpKS1d6BXv242,2023-12-19 01:32:49.619,Media Online,true,true,false,official@seputarkuliah.com,"","","81316312993",seputarkuliah,seputarkuliah.com,
"39347419-d2e1-46ce-ae60-bb9f7c6f4ee1",y4TOqSFLXtacjUX7MMsxH8XT0D03,y4TOqSFLXtacjUX7MMsxH8XT0D03,,Info Event Mahasiswa Indonesia,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,y4TOqSFLXtacjUX7MMsxH8XT0D03,2023-12-19 01:32:49.619,Media Online,true,true,false,infomahasiswaindo@gmail.com,"","","82140593360",infomahasiswaindonesia,"",
"8a59b50c-8dea-4cc2-a950-80a8ccde9393",JM0ACCkdDldG95EFbDG6r8hTM8q2,JM0ACCkdDldG95EFbDG6r8hTM8q2,,Media Event,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,JM0ACCkdDldG95EFbDG6r8hTM8q2,2023-12-19 01:32:49.619,Media Online,true,true,false,media_event@yahoo.com,"",mediaevent__,"83119577738",mediaevent_,bit.ly/Mediaevent_,
b5f985b6-0583-4104-ac42-e6c2966d7d98,gb6V5uGeZSSrGwWlpKS1d6BXv242,gb6V5uGeZSSrGwWlpKS1d6BXv242,,Mahasiswa Indonesia,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,gb6V5uGeZSSrGwWlpKS1d6BXv242,2023-12-19 01:32:49.619,Media Online,true,true,false,mahasiswaid010@gmail.com,"","","81287376646",mahasiswa.id,"",
"73331035-b2f1-4636-aec7-538924aaaf61",NgNDTSxKEeV4nzODnak4iOGp6pu1,NgNDTSxKEeV4nzODnak4iOGp6pu1,,Mading Event,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,NgNDTSxKEeV4nzODnak4iOGp6pu1,2023-12-19 01:32:49.619,Media Online,true,true,false,via ig,"","","",madingevent.id,"",
"1eca0bde-4a8f-4c83-8f2c-00fdf3afa085",y4TOqSFLXtacjUX7MMsxH8XT0D03,y4TOqSFLXtacjUX7MMsxH8XT0D03,,Rajanya Event,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2023-12-19 01:32:49.619,y4TOqSFLXtacjUX7MMsxH8XT0D03,2023-12-19 01:32:49.619,Media Online,true,true,false,rajanyaevent@gmail.com,gsm7239d,RajanyaEvent,"85718748015",rajanyaevent,www.rajanyaevent.com,
