"id","rt_id","user_id","review","rating"
"231f8b55-84cd-4fc9-a8b6-f686593bd872",a9ea849b-9805-4b8d-82d4-d6d1c510555e,iUsn07i7eQPIQmq5YoRNfCj4WO02,kaleng penyok :(,1
"5b01dbfd-3a03-4987-b525-a69da7035dbb","8d6bc599-5558-4bbb-88b0-ca74c535cbd3",V5FgAoGjkTMTDn7QeVLop58t1XR2,kecewa,1
"9e2a1163-62b1-464a-a14e-498d97e7702e",dc5eded1-e406-4f39-b50a-a11b9e563e83,ZWPKKeyXgRMYMqkyok2Vjqpihf13,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,5
"76ffd565-2e5d-45a7-84a5-4a8584727c87",b1b4b0e7-17d7-42dd-abcf-a495d42123ba,ExX1Zp5dTGdY54h3ENuW36I15Fq1,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",5
"0ed524b1-6d95-4380-930f-1b06c59deba7",f9ffb4cd-3863-4c97-825a-5165d686d572,f673otlb7QaO724971yL9oMVTcZ2,"Pengiriman super cepat, barang bagus, recommended seller, thanks",5
ca2cb79f-4381-4714-8d08-40255246b0c9,e26ed4a5-14c3-4fc4-abab-38c002743d54,"4H8LzTrrO9ZwVNPSFB4mOR1VPl32",l2 r2 trigger nya ampas macam ***,1
"46039bd0-17c9-4d47-b116-e331f55b84e0","1b9cbd2d-ee36-4265-b2cc-8c429391d645",XjcC8RP2v5eWNy1dnjfjVWozs1r1,"produk oke, sesuai dengan foto dan keterangan",5
"70f7ff28-4d2e-4ed6-a932-167b6cad74b9",d8d1490a-420d-4556-b2b0-95ac93e523f2,XkmmZwdvYNbpFSW8bOKzn5FCGvA3,barang bagus dan pengiriman cepat,5
"26e982bd-0b32-49a3-92cb-3544eaf8ad6e","9fcc60fb-ce51-4886-8c77-93ce5cd11aa6",XkmmZwdvYNbpFSW8bOKzn5FCGvA3,Terima kasih Kak...paketnya cepat sampai dan kondisinya bagus. semogq makin sukses ya Kak...,5
"857c6b3e-9cc5-408a-95fb-5627d4a878cb","6101e137-b4b9-4ddb-a4d2-a4b3074602e6",y4TOqSFLXtacjUX7MMsxH8XT0D03,barang sesuai pesanan paking standar bagus pengiriman cepat sampai TKS gan,5
f325a245-a6a8-419e-b312-9539fed20651,"62e6e6b3-01ca-4448-962a-b6814e53f216",XjcC8RP2v5eWNy1dnjfjVWozs1r1,produk sesuai deskripsi dan pengirimannya cepat,5
"79d7776d-f03a-4209-a436-1bfdc78b325e","0fdeac81-a428-43fc-83c4-d398c6a8c47e",ExX1Zp5dTGdY54h3ENuW36I15Fq1,"respon cepat, pengiriman cepat, produk bagus. thanks!",5
"51f262f4-5c3b-4bcf-925c-79f7a4854cec",f63e691d-a0d5-41d8-9d99-0e99e3c5e77c,NgNDTSxKEeV4nzODnak4iOGp6pu1,"barang sesuai, packing aman, pengiriman dan pengemasan cepat, blm dicoba, semoga cocok",5
"41443f4d-f041-4de8-bf94-ae6405689123",aa0e6052-58b3-43a5-a036-fb09575c1503,rizX0THPSqWIN651qAgAwKOjFaL2,"barang ok, sesuai pesanan, pengiriman ok",5
"2d0650f3-6428-461b-b5be-0f3137a5012c","2702a621-a7ae-4964-9cba-a2855c9eff98",OFt6HkGGNcfL1TXYmOxbHr01cxT2,"Pengiriman cepat, packing aman ,suka sm produknya,trimakasih",5
