"id","created_by","approved_by","logo_url","name","description","value","last_updated","updated_by","created_at","field","is_approved","is_active","is_archived","location","email","line","twitter","whatsapp","instagram","website"
a1cdf57d-a8f3-4acd-a248-196a1c51d249,IBsQ6OO9nEYnNM4Rcl66zE1dnjU2,IBsQ6OO9nEYnNM4Rcl66zE1dnjU2,,Toko G,Soket Lampu Foto Studio Ganda E27 Twin Bracket Holder Lighting Lamp,NaN,2023-12-19 14:34:24.668,IBsQ6OO9nEYnNM4Rcl66zE1dnjU2,2023-12-19 14:34:24.668,Lighting,true,true,true,Jakarta Barat,,,,,,
"24db7fd3-689c-40fa-963e-358658dc5a0c",gb6V5uGeZSSrGwWlpKS1d6BXv242,gb6V5uGeZSSrGwWlpKS1d6BXv242,,Toko H,Portable Light Stand Tripod 3 Section 200cm for Studio Lightning,NaN,2023-12-19 14:34:24.668,gb6V5uGeZSSrGwWlpKS1d6BXv242,2023-12-19 14:34:24.668,Lighting,true,true,true,Jakarta Barat,,,,,,
"790b61e8-a584-424d-a796-2d233a10679f",ZWPKKeyXgRMYMqkyok2Vjqpihf13,ZWPKKeyXgRMYMqkyok2Vjqpihf13,,Toko I,Lightstand tripod lampu tiang lampu light stand portable lighting stand,NaN,2023-12-19 14:34:24.668,ZWPKKeyXgRMYMqkyok2Vjqpihf13,2023-12-19 14:34:24.668,Lighting,true,true,true,Kab. Bekasi,,,,,,
e740abd1-5947-4149-a55b-f222f9b9d0c6,JM0ACCkdDldG95EFbDG6r8hTM8q2,JM0ACCkdDldG95EFbDG6r8hTM8q2,,Toko B,Lighting Lampu Studio Payung Softbox Reflektor E27 Single Socket,NaN,2023-12-19 14:34:24.668,JM0ACCkdDldG95EFbDG6r8hTM8q2,2023-12-19 14:34:24.668,Lighting,true,true,true,Surabaya,,,,,,
"13095762-a18b-4ac6-871f-df4950909daf",f673otlb7QaO724971yL9oMVTcZ2,f673otlb7QaO724971yL9oMVTcZ2,,Toko J,mic wireless smartphone iphone iPad IOS mikrofon microphone Lavalier rekam live podcast video audio jepit podcast video audio game tik tok lightning,NaN,2023-12-19 14:34:24.668,f673otlb7QaO724971yL9oMVTcZ2,2023-12-19 14:34:24.668,Lighting,true,true,true,Jakarta Barat,,,,,,
"46e08773-6062-46dd-8d65-70c209141ac7",rizX0THPSqWIN651qAgAwKOjFaL2,rizX0THPSqWIN651qAgAwKOjFaL2,,Toko B,TaffSTUDIO Portable Light Stand Tripod 1 Section 160cm for Studio Lighting - TB-037 - Black,NaN,2023-12-19 14:34:24.668,rizX0THPSqWIN651qAgAwKOjFaL2,2023-12-19 14:34:24.668,Lighting,true,true,true,Surabaya,,,,,,
"60236bd2-40c7-4698-be3f-0f8b333e3494",rizX0THPSqWIN651qAgAwKOjFaL2,rizX0THPSqWIN651qAgAwKOjFaL2,,Toko F,Midio M416 Video LED Lighting Kit Plus Baterai dan Charger,NaN,2023-12-19 14:34:24.668,rizX0THPSqWIN651qAgAwKOjFaL2,2023-12-19 14:34:24.668,Lighting,true,true,true,Jakarta Barat,,,,,,
"3be2a409-92aa-4ac0-89bd-0413405993c3",JM0ACCkdDldG95EFbDG6r8hTM8q2,JM0ACCkdDldG95EFbDG6r8hTM8q2,,Toko G,Paket Lighting Studio Foto Softbox 50x70 Light Stand 45watt vlog youtube socket e27,NaN,2023-12-19 14:34:24.668,JM0ACCkdDldG95EFbDG6r8hTM8q2,2023-12-19 14:34:24.668,Lighting,true,true,true,Bandung,,,,,,
"97608573-9503-41b9-8e79-11df0028b78c",V5FgAoGjkTMTDn7QeVLop58t1XR2,V5FgAoGjkTMTDn7QeVLop58t1XR2,,Toko E,Lightdow Lighting Kamera 160 LED,NaN,2023-12-19 14:34:24.668,V5FgAoGjkTMTDn7QeVLop58t1XR2,2023-12-19 14:34:24.668,Lighting,true,true,true,Jakarta Barat,,,,,,
a8a95f6a-c893-4ef6-b4f7-bb748c275f63,y4TOqSFLXtacjUX7MMsxH8XT0D03,y4TOqSFLXtacjUX7MMsxH8XT0D03,,Toko E,Softbox Payung Lighting Fotografi UB05,NaN,2023-12-19 14:34:24.668,y4TOqSFLXtacjUX7MMsxH8XT0D03,2023-12-19 14:34:24.668,Lighting,true,true,true,Jakarta Barat,,,,,,
